Epoch:1, compute loss cost:77.3302s, train loss:6144.3833, val loss:3952.2827, test loss:20974.1582
Epoch:2, compute loss cost:4.0227s, train loss:6121.1016, val loss:3955.7612, test loss:21022.5273
Epoch:3, compute loss cost:3.9120s, train loss:6186.0063, val loss:3960.1294, test loss:21040.5898
Epoch:4, compute loss cost:3.9987s, train loss:6114.6865, val loss:3958.3330, test loss:21029.8906
Epoch:5, compute loss cost:3.8990s, train loss:6191.8491, val loss:3959.3721, test loss:21031.9883
Epoch:6, compute loss cost:3.9351s, train loss:6138.1577, val loss:3970.7803, test loss:21094.2148
Epoch:7, compute loss cost:3.8846s, train loss:6096.2788, val loss:3958.4287, test loss:21034.7949
Epoch:8, compute loss cost:3.8360s, train loss:6123.5552, val loss:3953.3308, test loss:20988.8008
Epoch:9, compute loss cost:3.8737s, train loss:6093.0635, val loss:3935.7549, test loss:20923.3145
Epoch:10, compute loss cost:3.9447s, train loss:6093.1035, val loss:3916.0977, test loss:20828.3398
Epoch:11, compute loss cost:3.9382s, train loss:6014.1870, val loss:3890.6162, test loss:20698.2734
Epoch:12, compute loss cost:4.0055s, train loss:5987.8184, val loss:3851.1748, test loss:20502.2656
Epoch:13, compute loss cost:3.9340s, train loss:5972.1948, val loss:3803.5273, test loss:20246.0801
Epoch:14, compute loss cost:3.9069s, train loss:5827.5796, val loss:3737.0217, test loss:19895.6562
Epoch:15, compute loss cost:4.0112s, train loss:5690.9590, val loss:3635.7869, test loss:19397.7969
Epoch:16, compute loss cost:3.9760s, train loss:5483.7461, val loss:3508.7583, test loss:18734.6914
Epoch:17, compute loss cost:4.0623s, train loss:5257.8682, val loss:3354.7334, test loss:17927.1152
Epoch:18, compute loss cost:3.9569s, train loss:4996.8765, val loss:3168.3381, test loss:16916.9902
Epoch:19, compute loss cost:4.0135s, train loss:4619.4155, val loss:2943.8333, test loss:15750.8818
Epoch:20, compute loss cost:4.1668s, train loss:4246.1089, val loss:2711.0051, test loss:14507.0732
Epoch:21, compute loss cost:4.0731s, train loss:3822.8342, val loss:2486.0427, test loss:13301.2383
Epoch:22, compute loss cost:4.1205s, train loss:3469.1616, val loss:2284.7361, test loss:12166.9355
Epoch:23, compute loss cost:4.0437s, train loss:3133.8140, val loss:2116.4351, test loss:11305.4980
Epoch:24, compute loss cost:3.8300s, train loss:2862.0291, val loss:1980.4023, test loss:10564.8721
Epoch:25, compute loss cost:3.9110s, train loss:2655.2043, val loss:1874.3330, test loss:9976.9277
Epoch:26, compute loss cost:3.8585s, train loss:2487.7493, val loss:1788.7257, test loss:9502.6895
Epoch:27, compute loss cost:3.8663s, train loss:2387.4797, val loss:1719.5168, test loss:9119.4717
Epoch:28, compute loss cost:3.9522s, train loss:2287.6982, val loss:1660.5288, test loss:8750.3809
Epoch:29, compute loss cost:3.8793s, train loss:2202.4048, val loss:1615.0449, test loss:8546.7227
Epoch:30, compute loss cost:3.9796s, train loss:2133.3809, val loss:1577.5359, test loss:8343.0020
Epoch:31, compute loss cost:4.1051s, train loss:2100.0559, val loss:1544.4370, test loss:8165.5430
Epoch:32, compute loss cost:4.1899s, train loss:2043.7679, val loss:1517.9081, test loss:7985.2744
Epoch:33, compute loss cost:4.0346s, train loss:2014.9130, val loss:1491.9962, test loss:7884.3896
Epoch:34, compute loss cost:4.1465s, train loss:1973.5583, val loss:1469.9376, test loss:7767.9180
Epoch:35, compute loss cost:4.0166s, train loss:1943.3604, val loss:1451.4802, test loss:7668.6245
Epoch:36, compute loss cost:4.1869s, train loss:1915.4830, val loss:1432.5554, test loss:7568.4492
Epoch:37, compute loss cost:4.0350s, train loss:1884.8477, val loss:1415.1698, test loss:7478.8066
Epoch:38, compute loss cost:3.9806s, train loss:1860.4268, val loss:1398.5974, test loss:7360.4297
Epoch:39, compute loss cost:4.0111s, train loss:1829.5518, val loss:1382.1683, test loss:7305.7300
Epoch:40, compute loss cost:3.9593s, train loss:1808.2190, val loss:1366.9595, test loss:7227.3057
Epoch:41, compute loss cost:3.8005s, train loss:1779.9187, val loss:1351.6378, test loss:7146.4277
Epoch:42, compute loss cost:3.9503s, train loss:1745.4963, val loss:1337.7250, test loss:7074.8672
Epoch:43, compute loss cost:3.9354s, train loss:1736.0253, val loss:1321.6257, test loss:6992.2505
Epoch:44, compute loss cost:4.0159s, train loss:1700.2689, val loss:1307.8854, test loss:6916.8213
Epoch:45, compute loss cost:4.0495s, train loss:1671.9482, val loss:1294.6471, test loss:6844.7861
Epoch:46, compute loss cost:3.8869s, train loss:1645.5640, val loss:1281.5105, test loss:6774.5381
Epoch:47, compute loss cost:4.0437s, train loss:1629.2041, val loss:1267.7980, test loss:6700.9937
Epoch:48, compute loss cost:4.0900s, train loss:1595.3768, val loss:1255.6847, test loss:6636.2021
Epoch:49, compute loss cost:4.0308s, train loss:1578.7815, val loss:1244.0197, test loss:6573.2754
Epoch:50, compute loss cost:3.9820s, train loss:1557.4633, val loss:1231.9866, test loss:6511.7368
Epoch:51, compute loss cost:4.0011s, train loss:1524.8153, val loss:1221.5884, test loss:6453.5684
Epoch:52, compute loss cost:3.9164s, train loss:1500.8706, val loss:1212.1403, test loss:6400.8711
Epoch:53, compute loss cost:3.8676s, train loss:1480.9021, val loss:1203.2098, test loss:6351.8242
Epoch:54, compute loss cost:3.8824s, train loss:1461.5609, val loss:1193.9258, test loss:6300.5894
Epoch:55, compute loss cost:3.9020s, train loss:1451.7861, val loss:1184.7480, test loss:6249.3169
